Name,"Full name","Description","Location","Coordinates","URL","Version","DNSSEC validation","No logs","Namecoin","Resolver address","Provider name","Provider public key","Provider public key TXT record"
adguard-dns,"AdGuard DNS","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.130:5443","2.dnscrypt.default.ns1.adguard.com","D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873","pk.default.ns1.adguard.com"
adguard-dns-family,"AdGuard DNS Family Protection","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.132:5443","2.dnscrypt.family.ns1.adguard.com","B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA","pk.family.ns1.adguard.com"
adguard-dns-family-ns1,"Adguard DNS Family Protection 1","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.132:5443","2.dnscrypt.family.ns1.adguard.com","B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA","pk.family.ns1.adguard.com"
adguard-dns-family-ns2,"Adguard DNS Family Protection 2","Adguard DNS with safesearch and adult content blocking","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.134:5443","2.dnscrypt.family.ns2.adguard.com","8C21:17A9:EBC1:57D6:FB64:056F:0ADB:C11C:5D83:6734:73C4:6E25:8D9B:2F57:D4EE:351F","pk.family.ns2.adguard.com"
adguard-dns-ns1,"Adguard DNS 1","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.130:5443","2.dnscrypt.default.ns1.adguard.com","D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873","pk.default.ns1.adguard.com"
adguard-dns-ns2,"Adguard DNS 2","Remove ads and protect your computer from malware","Anycast","","https://adguard.com/en/adguard-dns/overview.html","1","no","yes","no","176.103.130.131:5443","2.dnscrypt.default.ns2.adguard.com","81D0:02D3:6A4C:A50C:473B:7479:650F:E12E:02B3:21CB:6138:562A:208E:403D:FDC5:5E94","pk.default.ns2.adguard.com"
bikinhappy-sg,"BikinHappy Singapore","provided by bikinhappy.com","Singapore","","http://dns.bikinhappy.com","1","yes","yes","no","172.104.46.253:443","2.dnscrypt-cert.dns.bikinhappy.com","7167:91A0:745E:17ED:1E73:D426:C697:E8DF:EE4B:476B:149F:8449:62DD:4615:BD71:5C70",""
cisco,"Cisco OpenDNS","Remove your DNS blind spot","Anycast","","https://www.opendns.com","1","no","no","no","208.67.220.220","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
cisco,"Cisco OpenDNS","Remove your DNS blind spot","Anycast","","https://www.opendns.com","1","no","no","no","208.67.220.220:443","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
cisco-familyshield,"Cisco OpenDNS with FamilyShield","Blocks web sites not suitable for children","Anycast","","https://www.opendns.com/home-internet-security/parental-controls/","1","no","no","no","208.67.220.123:443","2.dnscrypt-cert.opendns.com","B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79",""
